TargetIndex,TimeOfDay,EgoSpeed,TrafficAmount,KeepLane,Weather,F0_0,F1_0,F2_0,F3_0,Y0,Y1,Y2,Y3,Y
9.0,0.97,50.0,9.0,1.0,6.0,9999.900390625,-14967.09716796875,-593.3634853522348,105.269844,1,0,1,1,1
9.0,0.99,22.0,9.0,0.0,6.0,9999.900390625,-9119.51318359375,-521.1467483434114,78.81796,0,0,1,1,1
10.0,0.05,21.0,3.0,0.0,4.0,9999.900390625,-5.811556339263916,-642.1068707978817,58.01241,0,0,1,1,1
10.0,0.14,39.0,6.0,0.0,0.0,9999.900390625,-19370.25390625,-677.710954916372,100.1183,1,1,1,1,1
10.0,0.15,22.0,8.0,1.0,4.0,9999.900390625,-13084.708984375,-759.1237375288198,109.03303,1,0,1,1,1
10.0,0.18,35.0,7.0,1.0,1.0,1.7706584930419922,-26134.095703125,-707.2652185431908,103.62044,1,1,1,1,1
10.0,0.21,47.0,9.0,1.0,3.0,9999.900390625,-10861.7197265625,-739.4493127935905,106.2081,1,1,1,0,1
10.0,0.31,49.0,1.0,1.0,6.0,9999.900390625,-2176.8250427246094,-641.984692325062,56.277485,0,0,0,0,0
10.0,0.36,21.0,7.0,1.0,6.0,9999.900390625,-13194.8544921875,-766.1068838448152,109.361015,1,0,1,0,1
10.0,0.41,50.0,5.0,0.0,2.0,9999.900390625,-12881.068359375,-650.1347599632727,64.87834,1,1,1,1,1
10.0,0.46,29.0,4.0,1.0,4.0,9999.900390625,-5207.698989868164,-646.3295598951825,59.570545,1,1,1,1,1
10.0,0.56,36.0,4.0,0.0,5.0,2.3686318397521973,-19798.0673828125,-696.7449906199054,99.22979,1,1,1,1,1
10.0,0.57,31.0,5.0,0.0,1.0,9999.900390625,-26858.30859375,-673.2127065126656,94.66419,1,1,1,1,1
10.0,0.6,47.0,2.0,0.0,5.0,9999.900390625,-1294.8260498046875,-622.60039500557,52.39889,1,1,1,1,1
10.0,0.69,45.0,8.0,0.0,5.0,9999.900390625,-18283.1669921875,-709.1633609673125,103.78502,1,0,1,1,1
10.0,0.71,27.0,1.0,0.0,0.0,9999.900390625,-1025.4358558654783,-621.5491727115221,53.822243,0,0,0,0,0
10.0,0.76,48.0,1.0,0.0,0.0,9999.900390625,-1172.971710205078,-619.9374857666122,52.94977,0,0,0,1,1
10.0,0.78,32.0,10.0,1.0,5.0,1.0333465337753296,-20637.435546875,-713.5085744837155,104.12358,1,1,1,1,1
10.0,0.88,33.0,6.0,1.0,2.0,9999.900390625,-15929.94140625,-789.0810784777146,109.562035,1,1,1,1,1
10.0,0.88,45.0,9.0,0.0,0.0,9999.900390625,-34727.375,-683.0075971579494,100.10339,1,1,1,1,1
10.0,0.99,30.0,3.0,1.0,1.0,9999.900390625,-26439.474609375,-701.2556239991479,102.61016,1,1,1,1,1
11.0,0.04,22.0,7.0,1.0,2.0,9999.900390625,-19136.529296875,-585.8469963023846,103.763435,1,0,1,0,1
